Username,Order_ID,Date_,Subtotal,Tip,Time_
mewnnrbr6327@team9b.com,66,10/3/2022,55,4.59,11:01
68164488,67,10/3/2022,40,2.92,20:07
lulymimp4994@microsoft.com,68,10/3/2022,45,0.6,16:01
65573512,69,10/3/2022,37.5,0.5,14:42
bqameafc6423@microsoft.com,70,10/3/2022,55,3.72,11:59
bzfegiox1878@microsoft.com,71,10/3/2022,57.5,4.09,19:02
lwfpmjdl4255@outlook.com,72,10/3/2022,35,3.75,17:37
65573512,73,10/3/2022,47.5,1.81,17:59
fqngrbru7263@yahoo.com,74,10/3/2022,52.5,4.76,21:27
88744860,75,10/3/2022,12.5,4.8,22:29
09404152,76,10/3/2022,32.5,1.38,12:59
fqvfyfez3999@amongus.com,77,10/3/2022,55,0.24,15:38
88223286,78,10/3/2022,25,1.38,18:49
ksivzavk0512@outlook.com,79,10/3/2022,10,3.47,22:30
leglzlao5328@mojang.com,80,10/3/2022,45,3.56,17:27
qddpnwur1048@youtube.com,81,10/3/2022,40,4.38,17:34
pjzswqpn6865@mojang.com,82,10/3/2022,35,3.97,13:39
acnwixtn4093@gmail.com,83,10/3/2022,62.5,2.67,13:01
wscfsmmm9270@team9b.com,84,10/3/2022,25,1.28,22:36
eyewjyqo6396@team9b.com,85,10/3/2022,50,2.3,14:03
dxaenkpu3299@amazon.com,86,10/3/2022,25,4.9,13:21
27368406,87,10/3/2022,42.5,1.47,21:57
15210904,88,10/3/2022,10,3.65,20:09
tzerdgmu7305@hotmail.com,89,10/3/2022,32.5,4.72,17:16
bqameafc6423@microsoft.com,90,10/3/2022,12.5,5,17:11
26475312,91,10/3/2022,32.5,2.83,16:09
tzerdgmu7305@hotmail.com,92,10/3/2022,52.5,2.03,17:10
drlcxzwq8511@outlook.com,93,10/3/2022,10,0.56,13:22
09166541,94,10/3/2022,42.5,0.79,19:56
07559614,95,10/3/2022,12.5,0.55,22:22
lwfpmjdl4255@outlook.com,96,10/3/2022,30,0.95,12:52
ksivzavk0512@outlook.com,97,10/3/2022,52.5,3.12,22:38
nkhvynwi0877@gmail.com,98,10/3/2022,10,0.45,15:54
88744860,99,10/3/2022,32.5,4.25,21:59
45823849,100,10/3/2022,32.5,4.16,21:25
acnwixtn4093@gmail.com,101,10/3/2022,45,2.03,20:22
53597775,102,10/3/2022,55,3.01,19:50
65573512,103,10/3/2022,12.5,0.24,13:28
22079174,104,10/3/2022,60,1.47,16:06
hzzhsywz9701@tamu.com,105,10/3/2022,25,0.06,17:03
99083877,106,10/3/2022,57.5,1.18,22:40
53597775,107,10/3/2022,35,1.99,16:08
qddpnwur1048@youtube.com,108,10/3/2022,12.5,0.02,18:50
27368406,109,10/3/2022,57.5,2.51,21:37
gmlfplgb5415@amongus.com,110,10/3/2022,32.5,0.51,20:32
qhxpyyhy3771@outlook.com,111,10/3/2022,10,3.63,13:20
erannexm9730@hotmail.com,112,10/3/2022,42.5,1.81,20:08
fqvfyfez3999@amongus.com,113,10/3/2022,47.5,2.06,21:34
cbxdmrtx1642@gmail.com,114,10/3/2022,55,1.88,13:07
89346805,115,10/3/2022,47.5,3.16,21:50
53597775,116,10/3/2022,45,3.49,13:25
28488312,117,10/3/2022,47.5,2.19,22:22
bqxcmhxj0406@yahoo.com,118,10/3/2022,35,1.01,17:31
89346805,119,10/3/2022,32.5,2.4,12:47
gmlfplgb5415@amongus.com,120,10/3/2022,12.5,0.7,22:26
44395718,121,10/3/2022,12.5,3.07,15:53
02212372,122,10/3/2022,32.5,0.87,15:18
71854166,123,10/3/2022,57.5,3.1,22:10
gtkvyvui9206@tamu.com,124,10/3/2022,10,4.86,21:59
bstibhih7500@microsoft.com,125,10/3/2022,47.5,3.62,19:02
27368406,126,10/3/2022,62.5,4.93,12:20
nmkidoym9408@gongcha.com,127,10/3/2022,57.5,3.03,12:04
17958049,128,10/3/2022,55,0.09,14:47
45823849,129,10/3/2022,22.5,4.42,18:34
02212372,130,10/3/2022,10,3.17,18:44
68164488,131,10/4/2022,32.5,4.76,20:58
97939309,132,10/4/2022,10,4.27,14:52
bqameafc6423@microsoft.com,133,10/4/2022,32.5,1.6,18:27
ksivzavk0512@outlook.com,134,10/4/2022,52.5,0.11,15:58
mewnnrbr6327@team9b.com,135,10/4/2022,55,4.86,18:00
97465710,136,10/4/2022,10,4.58,16:11
hzeongix0241@mojang.com,137,10/4/2022,42.5,0.7,19:11
ydylbckb5048@gongcha.com,138,10/4/2022,22.5,2.64,16:08
28488312,139,10/4/2022,55,1.72,16:47
zrzmjytq5017@team9b.com,140,10/4/2022,32.5,4.78,20:09
erannexm9730@hotmail.com,141,10/4/2022,30,3,20:11
csgjhmmq6539@tamu.com,142,10/4/2022,10,2.96,11:17
bzfegiox1878@microsoft.com,143,10/4/2022,32.5,2.96,19:19
68164488,144,10/4/2022,20,4.56,19:57
fqngrbru7263@yahoo.com,145,10/4/2022,35,3.47,19:44
mvwpqozi8212@amazon.com,146,10/4/2022,55,1.45,18:42
99346498,147,10/4/2022,45,2.46,16:03
hnwdoktm2681@gmail.com,148,10/4/2022,22.5,2.25,15:06
bzfegiox1878@microsoft.com,149,10/4/2022,57.5,0.56,12:55
qhxpyyhy3771@outlook.com,150,10/4/2022,22.5,1.61,19:08
blmqchbj1685@gmail.com,151,10/4/2022,45,0.13,12:36
blmqchbj1685@gmail.com,152,10/4/2022,52.5,0.56,22:24
17958049,153,10/4/2022,12.5,0.66,16:38
22079174,154,10/4/2022,20,3.31,14:55
gmlfplgb5415@amongus.com,155,10/4/2022,32.5,4.7,19:20
29884709,156,10/4/2022,42.5,2.93,17:20
44395718,157,10/4/2022,22.5,4.61,12:00
drlcxzwq8511@outlook.com,158,10/4/2022,42.5,1.91,22:58
34172948,159,10/4/2022,47.5,0.1,16:47
eyewjyqo6396@team9b.com,160,10/4/2022,32.5,3.14,17:40
ksivzavk0512@outlook.com,161,10/4/2022,22.5,3.62,20:55
fnhqoyuj3254@team9b.com,162,10/4/2022,25,2.13,19:57
42076180,163,10/4/2022,22.5,1,19:03
acnwixtn4093@gmail.com,164,10/4/2022,32.5,4.51,11:31
uakripis6880@microsoft.com,165,10/4/2022,30,0.42,22:37
99346498,166,10/4/2022,30,3.68,17:15
45823849,167,10/4/2022,32.5,2.28,12:58
71854166,168,10/4/2022,52.5,0.7,13:28
uakripis6880@microsoft.com,169,10/4/2022,35,3.72,12:57
uzgolapa6273@hotmail.com,170,10/4/2022,10,2.24,18:33
55318110,171,10/4/2022,10,0.82,13:39
bqameafc6423@microsoft.com,172,10/4/2022,50,2.45,14:42
97939309,173,10/4/2022,30,1.99,21:51
68164488,174,10/4/2022,52.5,1.08,20:09
bzfegiox1878@microsoft.com,175,10/4/2022,42.5,2.47,17:01
45823849,176,10/4/2022,47.5,3.02,16:49
eouqsbuj0665@mojang.com,177,10/4/2022,20,3.39,21:34
99346498,178,10/4/2022,37.5,4.61,11:26
uakripis6880@microsoft.com,179,10/4/2022,12.5,1.27,15:27
ydylbckb5048@gongcha.com,180,10/4/2022,47.5,3.89,21:29
77235905,181,10/4/2022,52.5,2.62,18:52
pjzswqpn6865@mojang.com,182,10/4/2022,20,3.73,15:32
poeldyyi5038@yahoo.com,183,10/4/2022,10,1.39,20:41
mewnnrbr6327@team9b.com,184,10/4/2022,22.5,3.86,20:55
xbkpyhhg8751@tamu.com,185,10/4/2022,35,0.45,21:07
42076180,186,10/4/2022,52.5,3.47,19:34
26475312,187,10/4/2022,50,0.42,18:50
02212372,188,10/4/2022,55,2.02,16:37
vdfmxaps8903@microsoft.com,189,10/4/2022,45,1.63,20:39
botlwdwc8212@gongcha.com,190,10/4/2022,32.5,3.13,16:48
acnwixtn4093@gmail.com,191,10/4/2022,52.5,0.24,13:10
knrlplvg2781@yahoo.com,192,10/4/2022,10,0.71,21:41
zrzmjytq5017@team9b.com,193,10/4/2022,57.5,3.34,13:49
tjarunxo4546@amazon.com,194,10/4/2022,42.5,0.17,14:27
tjarunxo4546@amazon.com,195,10/4/2022,40,3.53,16:34
34172948,196,10/4/2022,22.5,4.7,22:08
27368406,197,10/4/2022,22.5,3.89,19:50
91143424,198,10/4/2022,35,1.91,14:18
63252884,199,10/4/2022,25,0.74,16:48
54315149,200,10/4/2022,12.5,3.72,22:06
55318110,201,10/4/2022,52.5,1.56,20:39
gtkvyvui9206@tamu.com,202,10/4/2022,22.5,2.73,22:16
qhxpyyhy3771@outlook.com,203,10/4/2022,57.5,4.6,12:18
mpepbmgq3917@tamu.com,204,10/4/2022,30,3.72,18:12
58680153,205,10/4/2022,32.5,3.03,15:25
ksivzavk0512@outlook.com,206,10/4/2022,45,3.62,21:10
ksivzavk0512@outlook.com,207,10/4/2022,20,2.65,22:59
bvlhhapp2329@outlook.com,208,10/4/2022,12.5,2.58,12:17
qhxpyyhy3771@outlook.com,209,10/4/2022,10,1,20:25
54315149,210,10/4/2022,45,1.57,13:56
erannexm9730@hotmail.com,211,10/4/2022,57.5,1.4,18:23
drlcxzwq8511@outlook.com,212,10/4/2022,47.5,1.34,18:26
26260554,213,10/4/2022,22.5,2.63,18:34
wscfsmmm9270@team9b.com,214,10/4/2022,25,4.28,18:46
34172948,215,10/4/2022,42.5,3.65,11:30
17958049,216,10/4/2022,55,4.65,21:20
eyewjyqo6396@team9b.com,217,10/4/2022,60,3.23,21:49
02212372,218,10/4/2022,32.5,4.24,15:53
csgjhmmq6539@tamu.com,219,10/4/2022,37.5,3.22,17:46
55318110,220,10/4/2022,22.5,3.99,14:21
88744860,221,10/4/2022,42.5,1.27,20:58
ikpussac3587@gongcha.com,222,10/4/2022,25,1.82,22:33
77235905,223,10/4/2022,10,4.32,18:48
zrzmjytq5017@team9b.com,224,10/4/2022,60,2.91,11:35
53597775,225,10/4/2022,10,4.33,13:28
hzzhsywz9701@tamu.com,226,10/4/2022,10,0.8,12:30
lwfpmjdl4255@outlook.com,227,10/4/2022,32.5,3.4,22:41
44395718,228,10/4/2022,37.5,3.24,14:23
42076180,229,10/4/2022,10,3.17,11:46
58680153,230,10/4/2022,47.5,0.65,18:52
zrzmjytq5017@team9b.com,231,10/4/2022,47.5,0.7,17:52
leglzlao5328@mojang.com,232,10/4/2022,20,0.34,16:26
cbxdmrtx1642@gmail.com,233,10/4/2022,45,2.29,17:55
12856702,234,10/4/2022,12.5,2.23,16:10
botlwdwc8212@gongcha.com,235,10/4/2022,10,1.54,19:07
fqvfyfez3999@amongus.com,236,10/4/2022,57.5,3.66,16:07
ksivzavk0512@outlook.com,237,10/4/2022,22.5,2.88,20:07
mvwpqozi8212@amazon.com,238,10/4/2022,35,3.94,21:55
07559614,239,10/4/2022,20,3.29,17:02
nddaftql1388@yahoo.com,240,10/4/2022,10,3.18,21:26
xhavrhlp6214@gmail.com,241,10/4/2022,52.5,1.83,17:12
rpuuikvb0197@youtube.com,242,10/4/2022,47.5,2.26,21:45
99083877,243,10/4/2022,55,1.76,18:49
26260554,244,10/4/2022,35,4.88,15:48
yvjrmvxh4164@youtube.com,245,10/4/2022,42.5,3.69,15:19
36309511,246,10/4/2022,20,4.31,22:34
gtkvyvui9206@tamu.com,247,10/5/2022,55,3.91,11:15
34172948,248,10/5/2022,12.5,3.99,21:07
42076180,249,10/5/2022,35,3.3,14:47
hnwdoktm2681@gmail.com,250,10/5/2022,20,3.55,22:14
leglzlao5328@mojang.com,251,10/5/2022,45,4.05,13:28
55318110,252,10/5/2022,12.5,0.47,13:20
lwfpmjdl4255@outlook.com,253,10/5/2022,22.5,2.01,16:04
86349856,254,10/5/2022,42.5,2.7,14:56
mewnnrbr6327@team9b.com,255,10/5/2022,45,4.96,22:10
07559614,256,10/5/2022,52.5,3.39,14:50
63252884,257,10/5/2022,12.5,0.82,21:47
yzmbdcsd4318@outlook.com,258,10/5/2022,52.5,3.92,16:27
27368406,259,10/5/2022,32.5,0.54,15:17
53597775,260,10/5/2022,45,2.8,12:12
xbkpyhhg8751@tamu.com,261,10/5/2022,35,4.21,15:39
28488312,262,10/5/2022,57.5,4.1,17:42
nddaftql1388@yahoo.com,263,10/5/2022,10,2.58,20:23
csgjhmmq6539@tamu.com,264,10/5/2022,47.5,1.49,19:16
70544231,265,10/5/2022,57.5,1.9,21:53
07559614,266,10/5/2022,42.5,1.3,20:32
qddpnwur1048@youtube.com,267,10/5/2022,32.5,0.21,11:10
02212372,268,10/5/2022,42.5,4.34,22:50
gmlfplgb5415@amongus.com,269,10/5/2022,20,3.58,16:45
tjarunxo4546@amazon.com,270,10/5/2022,32.5,4.94,18:45
botlwdwc8212@gongcha.com,271,10/5/2022,35,3.88,15:48
rpuuikvb0197@youtube.com,272,10/5/2022,12.5,3.78,17:53
leglzlao5328@mojang.com,273,10/5/2022,35,3.05,19:44
knrlplvg2781@yahoo.com,274,10/5/2022,35,2.08,12:07
09166541,275,10/5/2022,22.5,4.07,22:44
bqameafc6423@microsoft.com,276,10/5/2022,42.5,2.47,12:19
wlmomoox5344@yahoo.com,277,10/5/2022,47.5,3.81,17:39
88744860,278,10/5/2022,55,3.44,19:22
42076180,279,10/5/2022,25,1.63,19:29
poeldyyi5038@yahoo.com,280,10/5/2022,32.5,4.64,20:15
poeldyyi5038@yahoo.com,281,10/5/2022,52.5,0.1,12:15
qhxpyyhy3771@outlook.com,282,10/5/2022,30,1.25,20:16
hzzhsywz9701@tamu.com,283,10/5/2022,42.5,2.64,16:05
zrzmjytq5017@team9b.com,284,10/5/2022,35,4.52,18:14
89346805,285,10/5/2022,20,2.76,22:23
hnwdoktm2681@gmail.com,286,10/5/2022,10,0.23,14:57
88744860,287,10/5/2022,57.5,1.51,11:49
nkhvynwi0877@gmail.com,288,10/5/2022,10,1.33,21:14
gmlfplgb5415@amongus.com,289,10/5/2022,47.5,0.5,13:13
bvlhhapp2329@outlook.com,290,10/5/2022,25,1.96,11:51
ksivzavk0512@outlook.com,291,10/5/2022,60,0.59,18:31
36309511,292,10/5/2022,10,3.23,13:13
gmlfplgb5415@amongus.com,293,10/5/2022,10,2.69,21:46
ikpussac3587@gongcha.com,294,10/5/2022,22.5,1.15,11:06
mvwpqozi8212@amazon.com,295,10/5/2022,35,0.02,21:24
hzeongix0241@mojang.com,296,10/5/2022,45,3.24,22:20
28488312,297,10/5/2022,50,4.06,15:27
55318110,298,10/5/2022,10,2.32,21:30
eouqsbuj0665@mojang.com,299,10/5/2022,52.5,3.84,21:41
27368406,300,10/5/2022,20,1.18,18:31
71854166,301,10/5/2022,12.5,1.82,13:08
15210904,302,10/5/2022,60,4.04,19:34
58680153,303,10/5/2022,32.5,1.63,14:22
poeldyyi5038@yahoo.com,304,10/5/2022,12.5,0.12,20:13
hzzhsywz9701@tamu.com,305,10/5/2022,50,1.9,16:00
tzerdgmu7305@hotmail.com,306,10/5/2022,10,4.7,16:15
uakripis6880@microsoft.com,307,10/5/2022,35,3.21,21:28
bzfegiox1878@microsoft.com,308,10/5/2022,25,2.57,13:24
bqxcmhxj0406@yahoo.com,309,10/5/2022,22.5,2.18,11:00
xhavrhlp6214@gmail.com,310,10/5/2022,42.5,0.89,17:01
sakwrvhs8207@tamu.com,311,10/5/2022,57.5,0.81,21:19
26475312,312,10/5/2022,25,1.39,14:29
42076180,313,10/5/2022,45,3.49,15:30
53597775,314,10/5/2022,45,2.86,11:42
qhxpyyhy3771@outlook.com,315,10/5/2022,47.5,1.16,17:02
yzmbdcsd4318@outlook.com,316,10/5/2022,40,0.64,18:37
iuaaeaiu9436@yahoo.com,317,10/5/2022,12.5,3.39,16:41
17958049,318,10/5/2022,22.5,2.22,11:00
bzfegiox1878@microsoft.com,319,10/5/2022,45,3.52,22:54
uzgolapa6273@hotmail.com,320,10/5/2022,32.5,0.97,16:08
yzmbdcsd4318@outlook.com,321,10/5/2022,45,0.3,18:27
vdfmxaps8903@microsoft.com,322,10/5/2022,22.5,0.67,22:07
botlwdwc8212@gongcha.com,323,10/5/2022,10,1.87,12:46
nkhvynwi0877@gmail.com,324,10/5/2022,12.5,1.42,20:36
45823849,325,10/5/2022,12.5,3.96,21:08
mewnnrbr6327@team9b.com,326,10/5/2022,25,4.88,15:26
iuaaeaiu9436@yahoo.com,327,10/5/2022,55,1.04,17:40
99346498,328,10/5/2022,52.5,4.22,16:06
88223286,329,10/5/2022,55,4.91,16:27
hzzhsywz9701@tamu.com,330,10/5/2022,55,4.85,17:01
fqvfyfez3999@amongus.com,331,10/5/2022,57.5,2.11,14:17
wlmomoox5344@yahoo.com,332,10/5/2022,42.5,2.64,15:56
lwfpmjdl4255@outlook.com,333,10/5/2022,25,2.09,20:56
27368406,334,10/5/2022,22.5,3.91,11:01
hnwdoktm2681@gmail.com,335,10/5/2022,57.5,3.44,15:15
nddaftql1388@yahoo.com,336,10/5/2022,42.5,1.77,11:16
mvwpqozi8212@amazon.com,337,10/5/2022,35,0.61,15:30
55318110,338,10/5/2022,32.5,0.13,19:42
53773347,339,10/5/2022,10,1.81,14:45
70544231,340,10/5/2022,50,4.94,14:02
erannexm9730@hotmail.com,341,10/5/2022,10,0.08,16:46
12856702,342,10/5/2022,42.5,4.95,13:32
97939309,343,10/5/2022,52.5,1.06,19:44
hzzhsywz9701@tamu.com,344,10/5/2022,12.5,1.95,19:38
tnleamow3456@tamu.com,345,10/5/2022,47.5,1.06,16:00
54315149,346,10/5/2022,12.5,3.77,21:08
bqxcmhxj0406@yahoo.com,347,10/5/2022,57.5,1.63,17:40
09166541,348,10/5/2022,20,2.16,20:11
wscfsmmm9270@team9b.com,349,10/5/2022,22.5,3.12,17:51
45823849,350,10/5/2022,60,2.56,17:13
nmkidoym9408@gongcha.com,351,10/5/2022,22.5,1.55,15:01
45823849,352,10/5/2022,12.5,2.75,17:10
wscfsmmm9270@team9b.com,353,10/5/2022,20,3.89,22:03
eouqsbuj0665@mojang.com,354,10/5/2022,45,3.2,22:56
99083877,355,10/5/2022,10,2.69,12:46
mvwpqozi8212@amazon.com,356,10/5/2022,20,4.91,18:04
12856702,357,10/5/2022,55,3.15,11:57
wscfsmmm9270@team9b.com,358,10/5/2022,35,3.29,20:59
mvwpqozi8212@amazon.com,359,10/5/2022,47.5,2.8,11:09
iuaaeaiu9436@yahoo.com,360,10/5/2022,20,1.29,12:43
26475312,361,10/5/2022,10,0.24,19:10
88744860,362,10/5/2022,60,2.93,16:04
fqvfyfez3999@amongus.com,363,10/5/2022,55,4,20:20
mewnnrbr6327@team9b.com,364,10/5/2022,12.5,1.71,17:32
yvjrmvxh4164@youtube.com,365,10/5/2022,22.5,4.32,16:20
wscfsmmm9270@team9b.com,366,10/5/2022,47.5,0.28,12:27
77235905,367,10/6/2022,37.5,3.05,13:52
77235905,368,10/6/2022,35,1.86,20:13
tzerdgmu7305@hotmail.com,369,10/6/2022,57.5,3.36,11:21
uequjkrd7690@hotmail.com,370,10/6/2022,10,4.63,15:56
xbkpyhhg8751@tamu.com,371,10/6/2022,12.5,2.74,18:33
28488312,372,10/6/2022,10,3.36,14:20
wscfsmmm9270@team9b.com,373,10/6/2022,45,2.06,20:04
nmkidoym9408@gongcha.com,374,10/6/2022,57.5,4.44,21:27
09404152,375,10/6/2022,22.5,0.55,13:26
29884709,376,10/6/2022,55,2.48,13:41
89346805,377,10/6/2022,50,0.9,17:06
miqyozhi2562@gongcha.com,378,10/6/2022,55,4.98,13:39
vdfmxaps8903@microsoft.com,379,10/6/2022,10,1.81,12:34
blmqchbj1685@gmail.com,380,10/6/2022,10,3.55,19:11
vdfmxaps8903@microsoft.com,381,10/6/2022,47.5,3.07,17:18
bzfegiox1878@microsoft.com,382,10/6/2022,50,3.36,19:51
hzeongix0241@mojang.com,383,10/6/2022,50,3.26,18:22
91143424,384,10/6/2022,20,4.81,14:31
hzeongix0241@mojang.com,385,10/6/2022,35,2.66,19:53
xbkpyhhg8751@tamu.com,386,10/6/2022,22.5,3.41,21:57
hzzhsywz9701@tamu.com,387,10/6/2022,22.5,4.64,13:31
wlmomoox5344@yahoo.com,388,10/6/2022,10,2.3,13:17
ksivzavk0512@outlook.com,389,10/6/2022,22.5,0.74,15:51
42076180,390,10/6/2022,55,2.26,17:45
uakripis6880@microsoft.com,391,10/6/2022,35,4.93,20:57
bqxcmhxj0406@yahoo.com,392,10/6/2022,10,4.98,21:54
csgjhmmq6539@tamu.com,393,10/6/2022,60,1.28,21:38
63252884,394,10/6/2022,12.5,4.88,12:56
86349856,395,10/6/2022,55,2.09,16:49
blmqchbj1685@gmail.com,396,10/6/2022,52.5,3.76,14:02
89346805,397,10/6/2022,45,3.5,17:16
blmqchbj1685@gmail.com,398,10/6/2022,45,0.04,22:47
tzerdgmu7305@hotmail.com,399,10/6/2022,32.5,2.87,18:34
uakripis6880@microsoft.com,400,10/6/2022,32.5,0.25,11:57
07559614,401,10/6/2022,52.5,4.79,13:39
97939309,402,10/6/2022,55,1.45,22:29
lulymimp4994@microsoft.com,403,10/6/2022,47.5,1.33,14:00
poeldyyi5038@yahoo.com,404,10/6/2022,60,2.03,15:21
poeldyyi5038@yahoo.com,405,10/6/2022,42.5,3.07,11:58
28488312,406,10/6/2022,45,1.02,19:23
fqngrbru7263@yahoo.com,407,10/6/2022,60,3.47,22:10
fnhqoyuj3254@team9b.com,408,10/6/2022,55,2.75,12:31
bqxcmhxj0406@yahoo.com,409,10/6/2022,57.5,4.19,19:39
gvnebals4363@microsoft.com,410,10/6/2022,60,4.73,21:24
ksivzavk0512@outlook.com,411,10/6/2022,20,1.6,22:39
bstibhih7500@microsoft.com,412,10/6/2022,10,3.96,11:55
evbcmjsk8537@amazon.com,413,10/6/2022,35,1.67,21:04
lwfpmjdl4255@outlook.com,414,10/6/2022,35,1.82,18:39
36309511,415,10/6/2022,57.5,4.9,14:24
bqameafc6423@microsoft.com,416,10/6/2022,35,4.7,16:55
bqameafc6423@microsoft.com,417,10/6/2022,10,1.99,14:56
26475312,418,10/6/2022,32.5,2.43,21:43
70544231,419,10/6/2022,45,1.3,11:54
bvlhhapp2329@outlook.com,420,10/6/2022,50,4.12,12:01
57341554,421,10/6/2022,12.5,2.39,13:37
yvjrmvxh4164@youtube.com,422,10/6/2022,22.5,2.99,13:18
poeldyyi5038@yahoo.com,423,10/6/2022,30,3.18,20:28
36309511,424,10/6/2022,47.5,4.09,21:15
vdfmxaps8903@microsoft.com,425,10/6/2022,52.5,2.13,20:21
bzfegiox1878@microsoft.com,426,10/6/2022,35,4.11,14:14
bzfegiox1878@microsoft.com,427,10/6/2022,60,2.96,18:22
71854166,428,10/6/2022,47.5,3.97,17:13
ydylbckb5048@gongcha.com,429,10/6/2022,47.5,1.73,18:26
tzerdgmu7305@hotmail.com,430,10/6/2022,10,3.89,18:30
fnhqoyuj3254@team9b.com,431,10/6/2022,47.5,1.79,15:17
blmqchbj1685@gmail.com,432,10/6/2022,45,3.94,12:19
70544231,433,10/6/2022,42.5,3.1,16:41
fqngrbru7263@yahoo.com,434,10/6/2022,60,1.99,14:20
eouqsbuj0665@mojang.com,435,10/6/2022,10,0.65,11:45
uzgolapa6273@hotmail.com,436,10/6/2022,32.5,1.49,13:35
tnleamow3456@tamu.com,437,10/6/2022,12.5,2.85,12:05
miqyozhi2562@gongcha.com,438,10/6/2022,57.5,1.49,18:39
nmkidoym9408@gongcha.com,439,10/6/2022,52.5,1.94,17:50
hzeongix0241@mojang.com,440,10/6/2022,60,0.85,20:01
17958049,441,10/6/2022,45,3.65,21:21
erannexm9730@hotmail.com,442,10/6/2022,55,0.63,15:36
fqvfyfez3999@amongus.com,443,10/6/2022,32.5,4.46,21:40
knrlplvg2781@yahoo.com,444,10/6/2022,52.5,0,16:41
nddaftql1388@yahoo.com,445,10/6/2022,32.5,3.42,15:23
27368406,446,10/6/2022,40,2.22,22:23
poeldyyi5038@yahoo.com,447,10/6/2022,22.5,1.27,13:53
